timestamp,region,time_ms,mem_before_mb,mem_after_mb,mem_delta_mb,peak_mb
2026-02-10T09:52:29.220406,env_Node2,0.73,290.39,297.56,7.18,303.75
2026-02-10T09:52:29.221145,forward_Node2,0.28,297.56,297.57,0.0,303.75
2026-02-10T09:52:29.223801,loss_derivs_Node2,0.68,297.57,297.57,0.01,297.59
2026-02-10T09:52:29.224526,grad_contract_Node2,0.27,297.57,303.77,6.2,303.79
2026-02-10T09:52:29.225413,hess_tn_build_Node2,0.09,303.77,303.77,0.0,303.77
2026-02-10T09:52:29.226502,hess_contract_Node2,0.65,303.77,336.15,32.38,356.15
2026-02-10T09:52:29.227801,env_Node2,0.56,309.95,317.13,7.18,323.31
2026-02-10T09:52:29.228548,forward_Node2,0.29,317.13,317.13,0.0,323.32
2026-02-10T09:52:29.229635,loss_derivs_Node2,0.65,317.13,317.14,0.01,317.15
2026-02-10T09:52:29.230333,grad_contract_Node2,0.28,317.14,323.34,6.2,323.35
2026-02-10T09:52:29.230881,hess_tn_build_Node2,0.08,323.34,323.34,0.0,323.34
2026-02-10T09:52:29.232314,hess_contract_Node2,0.65,323.34,355.71,32.38,375.71
2026-02-10T09:52:29.233986,env_Node2,0.93,329.51,335.25,5.74,339.64
2026-02-10T09:52:29.234717,forward_Node2,0.29,335.25,335.25,0.0,339.64
2026-02-10T09:52:29.235812,loss_derivs_Node2,0.66,335.25,335.26,0.01,335.27
2026-02-10T09:52:29.236514,grad_contract_Node2,0.27,335.26,339.66,4.4,339.67
2026-02-10T09:52:29.237058,hess_tn_build_Node2,0.09,339.66,339.66,0.0,339.66
2026-02-10T09:52:29.238363,hess_contract_Node2,0.52,339.66,368.44,28.77,388.44
2026-02-10T09:52:29.238918,compute_H_b_Node2,38.23,191.67,323.37,131.7,388.44
2026-02-10T09:52:29.239469,fuse_Node2,0.09,323.37,323.37,0.0,323.37
2026-02-10T09:52:29.239951,to_dense_Node2,0.07,323.37,323.37,0.0,323.37
2026-02-10T09:52:29.242570,solve_Node2,1.77,323.39,343.41,20.02,363.41
2026-02-10T09:52:29.244703,env_Node3,1.18,343.4,344.4,1.0,344.96
2026-02-10T09:52:29.245505,forward_Node3,0.35,344.4,344.4,0.0,344.4
2026-02-10T09:52:29.246982,loss_derivs_Node3,0.68,344.4,344.41,0.01,344.42
2026-02-10T09:52:29.247737,grad_contract_Node3,0.32,344.41,344.41,0.0,344.41
2026-02-10T09:52:29.248264,hess_tn_build_Node3,0.08,344.41,344.41,0.0,344.41
2026-02-10T09:52:29.249180,hess_contract_Node3,0.49,344.41,345.06,0.65,345.19
2026-02-10T09:52:29.250442,env_Node3,0.8,345.06,346.06,1.0,346.62
2026-02-10T09:52:29.251157,forward_Node3,0.25,346.06,346.06,0.0,346.07
2026-02-10T09:52:29.252228,loss_derivs_Node3,0.63,346.06,346.07,0.01,346.08
2026-02-10T09:52:29.253286,grad_contract_Node3,0.63,346.07,346.07,0.0,346.07
2026-02-10T09:52:29.253806,hess_tn_build_Node3,0.08,346.07,346.07,0.0,346.07
2026-02-10T09:52:29.254536,hess_contract_Node3,0.3,346.07,346.72,0.65,346.85
2026-02-10T09:52:29.255922,env_Node3,0.81,346.72,347.72,1.0,348.28
2026-02-10T09:52:29.256636,forward_Node3,0.26,347.72,347.72,0.0,347.73
2026-02-10T09:52:29.257648,loss_derivs_Node3,0.58,347.72,347.73,0.01,347.75
2026-02-10T09:52:29.258337,grad_contract_Node3,0.26,347.73,347.73,0.0,347.74
2026-02-10T09:52:29.259257,hess_tn_build_Node3,0.1,347.73,347.73,0.0,347.73
2026-02-10T09:52:29.259989,hess_contract_Node3,0.3,347.73,348.38,0.65,348.52
2026-02-10T09:52:29.261406,env_Node3,0.84,348.25,349.25,1.0,349.81
2026-02-10T09:52:29.262114,forward_Node3,0.25,349.25,349.25,0.0,349.26
2026-02-10T09:52:29.263339,loss_derivs_Node3,0.48,349.25,349.26,0.01,349.27
2026-02-10T09:52:29.264316,grad_contract_Node3,0.37,349.26,349.26,0.0,349.26
2026-02-10T09:52:29.266686,hess_tn_build_Node3,0.0,349.26,349.26,0.0,349.26
2026-02-10T09:52:29.269804,hess_contract_Node3,2.51,349.26,349.91,0.65,350.04
2026-02-10T09:52:29.274768,env_Node3,0.05,349.78,350.78,1.0,351.34
2026-02-10T09:52:29.277233,forward_Node3,0.01,350.78,350.78,0.0,350.78
2026-02-10T09:52:29.279749,loss_derivs_Node3,0.05,350.78,350.79,0.01,350.8
2026-02-10T09:52:29.282211,grad_contract_Node3,0.01,350.79,350.79,0.0,350.79
2026-02-10T09:52:29.284666,hess_tn_build_Node3,0.0,350.79,350.79,0.0,350.79
2026-02-10T09:52:29.286268,hess_contract_Node3,0.03,350.79,351.44,0.65,351.57
2026-02-10T09:52:29.289307,env_Node3,0.05,351.3,352.02,0.71,352.42
2026-02-10T09:52:29.291161,forward_Node3,0.01,352.02,352.02,0.0,352.02
2026-02-10T09:52:29.293660,loss_derivs_Node3,0.05,352.02,352.02,0.01,352.03
2026-02-10T09:52:29.296128,grad_contract_Node3,0.02,352.02,352.03,0.0,352.03
2026-02-10T09:52:29.298583,hess_tn_build_Node3,0.0,352.03,352.03,0.0,352.03
2026-02-10T09:52:29.301637,hess_contract_Node3,0.02,352.03,352.53,0.5,352.66
2026-02-10T09:52:29.303002,compute_H_b_Node3,59.64,343.4,352.26,8.86,352.66
2026-02-10T09:52:29.303583,fuse_Node3,0.12,352.26,352.26,0.0,352.26
2026-02-10T09:52:29.304065,to_dense_Node3,0.07,352.26,352.26,0.0,352.26
2026-02-10T09:52:29.307489,solve_Node3,0.6,352.26,352.39,0.14,352.53
2026-02-10T09:52:29.309660,env_Node2,1.24,352.39,359.61,7.22,365.8
2026-02-10T09:52:29.310458,forward_Node2,0.31,359.61,365.81,6.19,365.81
2026-02-10T09:52:29.312043,loss_derivs_Node2,0.74,365.81,365.81,0.01,365.83
2026-02-10T09:52:29.312972,grad_contract_Node2,0.48,365.81,372.01,6.2,372.03
2026-02-10T09:52:29.313501,hess_tn_build_Node2,0.09,372.01,372.01,0.0,372.01
2026-02-10T09:52:29.314769,hess_contract_Node2,0.84,372.01,404.39,32.38,424.39
2026-02-10T09:52:29.316043,env_Node2,0.61,398.2,405.42,7.22,411.61
2026-02-10T09:52:29.316790,forward_Node2,0.29,405.42,411.62,6.19,411.62
2026-02-10T09:52:29.318000,loss_derivs_Node2,0.75,411.62,411.62,0.01,411.64
2026-02-10T09:52:29.319094,grad_contract_Node2,0.28,411.62,417.82,6.2,417.84
2026-02-10T09:52:29.319631,hess_tn_build_Node2,0.09,417.82,417.82,0.0,417.82
2026-02-10T09:52:29.320897,hess_contract_Node2,0.83,417.82,450.2,32.38,470.2
2026-02-10T09:52:29.323017,env_Node2,0.76,444.01,451.23,7.22,457.42
2026-02-10T09:52:29.323770,forward_Node2,0.3,451.23,457.43,6.19,457.43
2026-02-10T09:52:29.324951,loss_derivs_Node2,0.72,457.43,457.43,0.01,457.45
2026-02-10T09:52:29.325669,grad_contract_Node2,0.28,457.43,463.63,6.2,463.65
2026-02-10T09:52:29.326612,hess_tn_build_Node2,0.48,463.63,463.63,0.0,463.63
2026-02-10T09:52:29.327712,hess_contract_Node2,0.66,463.63,496.01,32.38,516.01
2026-02-10T09:52:29.329074,env_Node2,0.59,469.81,477.03,7.22,483.22
2026-02-10T09:52:29.329835,forward_Node2,0.31,477.03,483.22,6.19,483.23
2026-02-10T09:52:29.330999,loss_derivs_Node2,0.71,483.22,483.23,0.01,483.24
2026-02-10T09:52:29.331711,grad_contract_Node2,0.28,483.23,489.43,6.2,489.44
2026-02-10T09:52:29.332280,hess_tn_build_Node2,0.1,489.43,489.43,0.0,489.43
2026-02-10T09:52:29.333867,hess_contract_Node2,0.78,489.43,521.81,32.38,541.81
2026-02-10T09:52:29.335390,env_Node2,0.76,495.61,502.83,7.22,509.02
2026-02-10T09:52:29.336134,forward_Node2,0.29,502.83,509.02,6.19,509.02
2026-02-10T09:52:29.337270,loss_derivs_Node2,0.7,509.02,509.03,0.01,509.04
2026-02-10T09:52:29.337984,grad_contract_Node2,0.27,509.03,515.23,6.2,515.24
2026-02-10T09:52:29.338513,hess_tn_build_Node2,0.08,515.23,515.23,0.0,515.23
2026-02-10T09:52:29.340009,hess_contract_Node2,0.69,515.23,547.6,32.38,567.6
2026-02-10T09:52:29.341735,env_Node2,0.98,521.4,526.53,5.12,531.56
2026-02-10T09:52:29.342481,forward_Node2,0.3,526.53,531.57,5.04,531.57
2026-02-10T09:52:29.343585,loss_derivs_Node2,0.67,531.57,531.57,0.01,531.58
2026-02-10T09:52:29.344293,grad_contract_Node2,0.28,531.57,535.97,4.4,535.98
2026-02-10T09:52:29.344836,hess_tn_build_Node2,0.09,535.97,535.97,0.0,535.97
2026-02-10T09:52:29.345962,hess_contract_Node2,0.66,535.97,564.75,28.77,584.75
2026-02-10T09:52:29.346944,compute_H_b_Node2,38.3,352.39,520.33,167.94,584.75
2026-02-10T09:52:29.347515,fuse_Node2,0.1,520.33,520.33,0.0,520.33
2026-02-10T09:52:29.348003,to_dense_Node2,0.08,520.33,520.33,0.0,520.33
2026-02-10T09:52:29.350656,solve_Node2,1.78,520.35,540.37,20.02,560.37
2026-02-10T09:52:29.354286,env_Node1,1.3,540.36,553.21,12.85,559.4
2026-02-10T09:52:29.354997,forward_Node1,0.26,553.21,553.21,0.0,553.22
2026-02-10T09:52:29.356101,loss_derivs_Node1,0.66,553.21,553.22,0.01,553.23
2026-02-10T09:52:29.357203,grad_contract_Node1,0.67,553.22,559.42,6.2,559.43
2026-02-10T09:52:29.357737,hess_tn_build_Node1,0.09,559.42,559.42,0.0,559.42
2026-02-10T09:52:29.358917,hess_contract_Node1,0.75,559.42,585.61,26.19,605.61
2026-02-10T09:52:29.360530,env_Node1,1.0,585.61,598.45,12.85,605.16
2026-02-10T09:52:29.361250,forward_Node1,0.27,598.45,598.46,0.0,598.46
2026-02-10T09:52:29.362266,loss_derivs_Node1,0.58,598.46,598.47,0.01,598.48
2026-02-10T09:52:29.362993,grad_contract_Node1,0.27,598.47,604.67,6.2,604.68
2026-02-10T09:52:29.363918,hess_tn_build_Node1,0.09,604.67,604.67,0.0,604.67
2026-02-10T09:52:29.364997,hess_contract_Node1,0.63,604.67,630.85,26.19,650.85
2026-02-10T09:52:29.367259,env_Node1,0.88,630.85,643.7,12.85,650.4
2026-02-10T09:52:29.367971,forward_Node1,0.26,643.7,643.71,0.0,643.71
2026-02-10T09:52:29.368959,loss_derivs_Node1,0.55,643.71,643.71,0.01,643.73
2026-02-10T09:52:29.369653,grad_contract_Node1,0.27,643.71,649.91,6.2,649.93
2026-02-10T09:52:29.370568,hess_tn_build_Node1,0.1,649.91,649.91,0.0,649.91
2026-02-10T09:52:29.371772,hess_contract_Node1,0.76,649.91,676.1,26.19,696.1
2026-02-10T09:52:29.373368,env_Node1,0.86,656.09,668.94,12.85,675.12
2026-02-10T09:52:29.374080,forward_Node1,0.25,668.94,668.94,0.0,668.94
2026-02-10T09:52:29.375191,loss_derivs_Node1,0.67,668.94,668.95,0.01,668.96
2026-02-10T09:52:29.375897,grad_contract_Node1,0.27,668.95,675.15,6.2,675.16
2026-02-10T09:52:29.376442,hess_tn_build_Node1,0.09,675.15,675.15,0.0,675.15
2026-02-10T09:52:29.377902,hess_contract_Node1,0.65,675.15,701.34,26.19,721.34
2026-02-10T09:52:29.379577,env_Node1,0.86,681.32,694.17,12.85,700.87
2026-02-10T09:52:29.380293,forward_Node1,0.27,694.17,694.18,0.0,694.18
2026-02-10T09:52:29.381412,loss_derivs_Node1,0.68,694.18,694.18,0.01,694.2
2026-02-10T09:52:29.382132,grad_contract_Node1,0.28,694.18,700.38,6.2,700.4
2026-02-10T09:52:29.382654,hess_tn_build_Node1,0.09,700.38,700.38,0.0,700.38
2026-02-10T09:52:29.383744,hess_contract_Node1,0.64,700.38,726.57,26.19,746.57
2026-02-10T09:52:29.385976,env_Node1,1.45,706.56,716.32,9.76,720.71
2026-02-10T09:52:29.386690,forward_Node1,0.26,716.32,716.32,0.0,716.33
2026-02-10T09:52:29.387795,loss_derivs_Node1,0.67,716.32,716.33,0.01,716.34
2026-02-10T09:52:29.388507,grad_contract_Node1,0.28,716.33,720.73,4.4,720.74
2026-02-10T09:52:29.389054,hess_tn_build_Node1,0.09,720.73,720.73,0.0,720.73
