Task 4: Model=lmpo2_typei, Dataset=seoulBike
[2026-05-04 19:35:49,960][HYDRA] 	#11 : model.reduction_factor=0.3 model.L=4 model.bond_dim=4 seed=10090 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:50,160][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=4_rf0.3 seed=10090 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd4_seed10090_rf0.3_bondmpo1 | already completed successfully (val_quality=0.6318814918286595) val=0.6319
[2026-05-04 19:35:50,162][HYDRA] 	#12 : model.reduction_factor=0.3 model.L=4 model.bond_dim=4 seed=32874 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:50,331][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=4_rf0.3 seed=32874 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd4_seed32874_rf0.3_bondmpo1 | already completed successfully (val_quality=0.6114644680307504) val=0.6115
[2026-05-04 19:35:50,333][HYDRA] 	#13 : model.reduction_factor=0.3 model.L=4 model.bond_dim=4 seed=47311 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:50,505][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=4_rf0.3 seed=47311 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd4_seed47311_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5990313595215123) val=0.5990
[2026-05-04 19:35:50,507][HYDRA] 	#14 : model.reduction_factor=0.3 model.L=4 model.bond_dim=4 seed=47303 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:50,675][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=4_rf0.3 seed=47303 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd4_seed47303_rf0.3_bondmpo1 | already completed successfully (val_quality=0.7090513897089149) val=0.7091
[2026-05-04 19:35:50,677][HYDRA] 	#15 : model.reduction_factor=0.3 model.L=3 model.bond_dim=12 seed=42 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:50,848][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=3 bd=12_rf0.3 seed=42 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L3_bd12_seed42_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5067725286993146) val=0.5068
